idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
0,5abbb9b19f.png,0,0,90.0,semantic_or_token_error,220,199,"\int_{-\epsilon}^{\infty}dl\:\mathrm{e}^{-l\zeta}\int_{-\epsilon}^{\infty}dl^{\prime}\mathrm{e}^{-l^{\prime}\zeta}ll^{\prime}{\frac{l^{\prime}-l}{l+l^{\prime}}}\{3\,\delta^{\prime\prime}(l)-{\frac{3}{4}}t\,\delta(l)\}=0.","\int_{-\epsilon}^{\infty}dl\;\mathrm{e}^{-l}\int_{-\epsilon}^{\infty}dl^{\prime}\mathrm{e}^{-l^{\prime}}ll^{\prime}{\frac{l}{l+l^{\prime}}}\{3\,\delta^{\prime\prime}(l)-{\frac{3}{4}}t\,\delta(l)\}=0.",\int_{-\epsilon^{\infty}dl\mathrme^{-l\zeta}\int_{-\epsilon^{\infty}dl^{\prime}\mathrme^{-l^{\prime}\zeta}ll^{\prime}\frac{l^{\prime-l}{l+l^{\prime}\{3\delta^{\prime\prime}(l)-\frac{3}{4}t\delta(l)\=0.,\int_{-\epsilon^{\infty}dl\mathrme^{-l}\int_{-\epsilon^{\infty}dl^{\prime}\mathrme^{-l^{\prime}ll^{\prime}\frac{l}{l+l^{\prime}\{3\delta^{\prime\prime}(l)-\frac{3}{4}t\delta(l)\=0.
1,329a44c373.png,0,1,89.744,canonical_equivalent,117,105,"[{\bar{K}}_{a}^{-}(p),{\bar{K}}_{b}^{-}(k)]=if_{abc}{\bar{K}}_{c}^{-}(p+k)-2{\pi}^{2}Cp{\delta}_{ab}{\delta}_{p+k,0}.","[\bar{K}_{a}^{-}(p),\bar{K}_{b}^{-}(k)]=if_{abc}\bar{K}_{c}^{-}(p+k)-2\pi^{2}Cp\delta_{ab}\delta_{p+k,0}.","[\barK_a^{-}(p),\barK_b^{-}(k)]=if_{abc}\barK_c^{-}(p+k)-2\pi^{2}Cp\delta_{ab}\delta_{p+k,0}.","[\barK_a^{-}(p),\barK_b^{-}(k)]=if_{abc}\barK_c^{-}(p+k)-2\pi^{2}Cp\delta_{ab}\delta_{p+k,0}."
2,73b51f198b.png,0,1,73.913,canonical_equivalent,46,42,"E(v)=\frac{d}{dt}E(q)\;\;\;\;\;\;\;\forallt\,.","E(v)=\frac{d}{dt}E(q)\quad\quad\forallt\,.",E(v)=\frac{d}{dt}E(q)\forallt.,E(v)=\frac{d}{dt}E(q)\forallt.
3,6331d9e7fd.png,0,1,97.059,canonical_equivalent,68,66,{\frac{1}{L^{2}}}\prod_{i=1}^{3}(r_{+}^{2}+q_{i})-\mur_{+}^{2}\sim0.,\frac{1}{L^{2}}\prod_{i=1}^{3}(r_{+}^{2}+q_{i})-\mur_{+}^{2}\sim0.,\frac{1}{L^{2}\prod_{i=1^{3}(r_{+^{2+q_{i)-\mur_{+^{2}\sim0.,\frac{1}{L^{2}\prod_{i=1^{3}(r_{+^{2+q_{i)-\mur_{+^{2}\sim0.
4,91a55d2cb9.png,1,1,100.0,exact,53,53,"x^{I}(\sigma+2\pi,\tau)=x^{I}(\sigma,\tau)+2\piL^{I}.","x^{I}(\sigma+2\pi,\tau)=x^{I}(\sigma,\tau)+2\piL^{I}.","x^{I}(\sigma+2\pi,\tau)=x^{I}(\sigma,\tau)+2\piL^{I}.","x^{I}(\sigma+2\pi,\tau)=x^{I}(\sigma,\tau)+2\piL^{I}."
5,408fe63a30.png,1,1,100.0,exact,132,132,\xi_{\sigma}(\sigma)=1-\frac{\pie^{\sigma}}{3}+8\pie^{\sigma}\sum_{n=1}^{\infty}\frac{ne^{-2n\pie^{\sigma}}}{1-e^{-2n\pie^{\sigma}}},\xi_{\sigma}(\sigma)=1-\frac{\pie^{\sigma}}{3}+8\pie^{\sigma}\sum_{n=1}^{\infty}\frac{ne^{-2n\pie^{\sigma}}}{1-e^{-2n\pie^{\sigma}}},\xi_{\sigma}(\sigma)=1-\frac{\pie^{\sigma}{3+8\pie^{\sigma}\sum_{n=1^{\infty}\frac{ne^{-2n\pie^{\sigma}{1-e^{-2n\pie^{\sigma},\xi_{\sigma}(\sigma)=1-\frac{\pie^{\sigma}{3+8\pie^{\sigma}\sum_{n=1^{\infty}\frac{ne^{-2n\pie^{\sigma}{1-e^{-2n\pie^{\sigma}
6,232d6fea7c.png,1,1,100.0,exact,84,84,m_{0}^{2}\varphi+{\frac{\mu^{2}-m_{0}^{2}}{\beta}}\operatorname{tan}(\beta\varphi)=0,m_{0}^{2}\varphi+{\frac{\mu^{2}-m_{0}^{2}}{\beta}}\operatorname{tan}(\beta\varphi)=0,m_0^{2}\varphi+\frac{\mu^{2-m_0^{2}{\beta}\operatorname{tan}(\beta\varphi)=0,m_0^{2}\varphi+\frac{\mu^{2-m_0^{2}{\beta}\operatorname{tan}(\beta\varphi)=0
7,702a6a1e50.png,0,1,96.825,canonical_equivalent,63,61,"{\frac{dz}{dr}}=e^{2A},\hspace{1cm}\psi\rightarrowe^{-3A/2}\psi","\frac{dz}{dr}=e^{2A},\hspace{1cm}\psi\rightarrowe^{-3A/2}\psi","\frac{dz}{dr=e^{2A,\hspace{1cm}\psiarrowe^{-3A/2}\psi","\frac{dz}{dr=e^{2A,\hspace{1cm}\psiarrowe^{-3A/2}\psi"
8,7a7df95199.png,1,1,100.0,exact,90,90,"F_{A_{1}}\left(q^{a_{1}},\dot{q}^{a_{1}}\right)=0\,,\;F_{A_{0}}\left(q^{a_{1}}\right)=0\,.","F_{A_{1}}\left(q^{a_{1}},\dot{q}^{a_{1}}\right)=0\,,\;F_{A_{0}}\left(q^{a_{1}}\right)=0\,.","F_{A_{1}(q^{a_{1,\dotq^{a_{1)=0,F_{A_{0}(q^{a_{1)=0.","F_{A_{1}(q^{a_{1,\dotq^{a_{1)=0,F_{A_{0}(q^{a_{1)=0."
9,d39642fa83.png,1,1,100.0,exact,73,73,1-\frac{\delta\phi}{2\pi}=L^{\prime}(\infty)=\frac{2GW+1}{N^{2}(\infty)}.,1-\frac{\delta\phi}{2\pi}=L^{\prime}(\infty)=\frac{2GW+1}{N^{2}(\infty)}.,1-\frac{\delta\phi}{2\pi=L^{\prime}(\infty)=\frac{2GW+1}{N^{2}(\infty)}.,1-\frac{\delta\phi}{2\pi=L^{\prime}(\infty)=\frac{2GW+1}{N^{2}(\infty)}.
