formula,image,formula_len_chars,formula_len_tokens_rough,image_width,image_height,aspect_ratio
I = 2 \left( { \frac { \alpha } { \operatorname { s i n h } ^ { 2 } A + \operatorname { s i n } ^ { 2 } { \frac { \gamma } { 2 } } } } - { \frac { \operatorname { s i n h } { \frac { 2 A } { \alpha } } } { \operatorname { s i n h } { 2 A } } } ~ { \frac { 1 } { ( \operatorname { s i n h } ^ { 2 } { \frac { A } { \alpha } } + \operatorname { s i n } ^ { 2 } { \frac { [ \gamma ] } { 2 \alpha } } ) } } \right) ~ ~ .,616706dd5a.png,416,138,480,64,7.5
"\left\{ \begin{array} { r c l } { \displaystyle \partial ^ { m } h _ { m } - \frac { 1 } { 2 } \dot { h } ^ { \prime } } & { = } & { 0 , \vspace { 2 m m } } \\ { \displaystyle \partial ^ { n } h _ { m n } - \frac { 1 } { 2 } \partial _ { m } h ^ { \prime } } & { = } & { 0 , \vspace { 2 m m } } \\ { \displaystyle \partial ^ { m } \theta _ { m } - \frac { 1 } { 2 } h ^ { \prime } } & { = } & { 0 . } \\ \end{array} \right.",347196fad5.png,423,138,480,128,3.75
"{ \bf W } _ { a a } = - \sum _ { c \neq a } { \mathrm { \boldmath ~ \beta ~ } } _ { a } ^ { * } \cdot { \mathrm { \boldmath ~ \beta ~ } } _ { c } ^ { * } { \bf w } _ { a c } , \, \, \, \, { \bf W } _ { a b } = { \mathrm { \boldmath ~ \beta ~ } } _ { a } ^ { * } \cdot { \mathrm { \boldmath ~ \beta ~ } } _ { b } ^ { * } { \bf w } _ { a b } \quad \mathrm { \hspace { ~ 1 c m } ~ i f ~ a \neq ~ b ~ } .",33274d5123.png,400,142,480,64,7.5
"\left. \left( \begin{array} { c c c } { \partial \beta _ { g } / \partial g } & { \partial \beta _ { g } / \partial h } & { \partial \beta _ { g } / \partial f } \\ { \partial \beta _ { h } / \partial g } & { \partial \beta _ { h } / \partial h } & { \partial \beta _ { h } / \partial f } \\ { \partial \beta _ { f } / \partial g } & { \partial \beta _ { f } / \partial h } & { \partial \beta _ { f } / \partial f } \\ \end{array} \right) \right| _ { g = g _ { \ast } , h = h _ { \ast } , f = f _ { \ast } }",1015942522.png,507,145,384,96,4.0
\begin{array} { r l } { \displaystyle Z _ { N } ( \vartheta ) } & { = 2 N \operatorname { a r c t a n } \displaystyle \frac { \operatorname { s i n h } \vartheta } { \operatorname { c o s h } \Theta } + \displaystyle \sum _ { k = 1 } ^ { N _ { H } } \chi ( \vartheta - h _ { k } ) - 2 \displaystyle \sum _ { k = 1 } ^ { N _ { S } } \chi ( \vartheta - y _ { k } ) - } \\ \end{array},5c8ae6694c.png,381,111,480,160,3.0
"K = i \int _ { 0 } ^ { \infty } d \lambda ^ { \prime } \; s e ^ { i \lambda ^ { \prime } ( \pi ^ { \prime \prime } - \pi ^ { \prime } ) } e ^ { - i [ s \lambda ^ { \prime } ( \gamma ^ { \mu } P _ { \mu } ^ { \prime } - m ) + { \frac { i } { s } } ( { \bar { \eta } } ^ { \prime \prime } - { \bar { \eta } } ^ { \prime } ) ( \eta ^ { \prime \prime } - \eta ^ { \prime } ) ] } \delta ^ { 4 } ( P ^ { \prime \prime } - P ^ { \prime } ) \, .",74bc680700.png,437,145,480,64,7.5
"e _ { 1 } = \left| \begin{array} { c } { \overrightarrow { e _ { 1 } } } \\ { 0 } \\ \end{array} \right| , \quad e _ { 2 } = \left| \begin{array} { c } { \overrightarrow { e _ { 2 } } } \\ { 0 } \\ \end{array} \right| , \quad e _ { 3 } = \left| \begin{array} { c } { \overrightarrow { e _ { 3 } } } \\ { 0 } \\ \end{array} \right| , \quad e _ { 4 } = \left| \begin{array} { c } { 0 } \\ { 1 } \\ \end{array} \right| .",7222c26c18.png,417,112,480,64,7.5
"\begin{array} { l } { \delta \theta ^ { \alpha } = \epsilon ^ { \alpha } , \qquad \delta \bar { \theta } _ { \alpha } = \bar { \epsilon } _ { \alpha } , } \\ { \delta x ^ { \bar { \mu } } = - i \bar { \epsilon } _ { \alpha } \tilde { \Gamma } ^ { { \bar { \mu } } \alpha \beta } \bar { \theta } _ { \beta } + i \epsilon ^ { \alpha } \Gamma _ { \alpha \beta } ^ { \bar { \mu } } \theta ^ { \beta } , \qquad \delta x ^ { 1 1 } = 0 , } \\ \end{array}",54ecd49027.png,447,124,320,64,5.0
"\hat { \varrho } _ { \mathrm { f l d } } = \hat { \varrho } _ { m } \left[ 1 + \zeta \left( { \frac { \hat { c } } { c } } \right) ^ { 2 } \right] + \hat { \varrho } _ { r } \left( { \frac { \hat { c } } { c } } \right) ^ { 2 } , \ \ \ \ \ \ \ \hat { \wp } _ { \mathrm { f l d } } = { \frac { 1 } { 3 } } \hat { \varrho } _ { r } \left( { \frac { \hat { c } } { c } } \right) ^ { 2 } ,",462d961136.png,385,130,480,64,7.5
"\tilde { Z } _ { i j } = i \sigma _ { 2 } \left( \begin{array} { l l } { | Z | } & { 0 } \\ { 0 } & { | Z | } \\ \end{array} \right) \ , \qquad \tilde { Z } _ { i j } = i \sigma _ { 2 } \left( \begin{array} { l l l l } { | Z | } & { 0 } & { 0 } & { 0 } \\ { 0 } & { | Z | } & { 0 } & { 0 } \\ { 0 } & { 0 } & { | Z | } & { 0 } \\ { 0 } & { 0 } & { 0 } & { | Z | } \\ \end{array} \right) \ ,",4b2b463726.png,390,147,480,128,3.75
"\alpha _ { A } ( \varphi ) = - \left[ \operatorname { l n } { \frac { \widehat \Lambda _ { s } } { m _ { A } } } + { \frac { 1 } { 2 } } \right] { \frac { \partial \operatorname { l n } B ( \varphi ) } { \partial \varphi } } = + \operatorname { l n } { \frac { \widehat \Lambda _ { s } ^ { \prime } } { m _ { A } } } \, { \frac { \partial \operatorname { l n } B ^ { - 1 } ( \varphi ) } { \partial \varphi } } \ ,",3733924e20.png,413,120,480,64,7.5
"\Delta _ { \varepsilon , \overline { { \varepsilon } } } ^ { ( 1 ) } = \frac { \sigma ^ { 2 } } 2 \cdot \frac { m - i \varepsilon \widehat { p } } { 2 m } \cdot \frac { m - i \overline { { \varepsilon } } \overline { { p } } } { 2 m } \cdot \left( 1 - \sigma _ { p } ^ { 2 } \right) = \Psi _ { \varepsilon , \overline { { \varepsilon } } } \cdot \overline { { \Psi } } _ { \varepsilon , \overline { { \varepsilon } } }",2efe089406.png,418,112,384,64,6.0
